code,title,soc2d,soc3d,soc5d,soc6d,Level,Hierarchical_structure
43-9041,Insurance Claims and Policy Processing Clerks,43-0000,43-9000,43-9040,43-9041,6,Detailed
43-9050,"Mail Clerks and Mail Machine Operators, Except Postal Service",43-0000,43-9000,43-9050,NA,5,Broad
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",43-0000,43-9000,43-9050,43-9051,6,Detailed
43-9060,"Office Clerks, General",43-0000,43-9000,43-9060,NA,5,Broad
43-9061,"Office Clerks, General",43-0000,43-9000,43-9060,43-9061,6,Detailed
43-9070,"Office Machine Operators, Except Computer",43-0000,43-9000,43-9070,NA,5,Broad
43-9071,"Office Machine Operators, Except Computer",43-0000,43-9000,43-9070,43-9071,6,Detailed
43-9080,Proofreaders and Copy Markers,43-0000,43-9000,43-9080,NA,5,Broad
43-9081,Proofreaders and Copy Markers,43-0000,43-9000,43-9080,43-9081,6,Detailed
43-9110,Statistical Assistants,43-0000,43-9000,43-9110,NA,5,Broad
43-9111,Statistical Assistants,43-0000,43-9000,43-9110,43-9111,6,Detailed
43-9190,Miscellaneous Office and Administrative Support Workers,43-0000,43-9000,43-9190,NA,5,Broad
43-9199,"Office and Administrative Support Workers, All Other",43-0000,43-9000,43-9190,43-9199,6,Detailed
45-0000,"Farming, Fishing, and Forestry Occupations",45-0000,NA,NA,NA,2,Major
45-1000,"Supervisors of Farming, Fishing, and Forestry Workers",45-0000,45-1000,NA,NA,3,Minor
45-1010,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-0000,45-1000,45-1010,NA,5,Broad
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-0000,45-1000,45-1010,45-1011,6,Detailed
45-2000,Agricultural Workers,45-0000,45-2000,NA,NA,3,Minor
45-2010,Agricultural Inspectors,45-0000,45-2000,45-2010,NA,5,Broad
45-2011,Agricultural Inspectors,45-0000,45-2000,45-2010,45-2011,6,Detailed
45-2020,Animal Breeders,45-0000,45-2000,45-2020,NA,5,Broad
45-2021,Animal Breeders,45-0000,45-2000,45-2020,45-2021,6,Detailed
45-2040,"Graders and Sorters, Agricultural Products",45-0000,45-2000,45-2040,NA,5,Broad
45-2041,"Graders and Sorters, Agricultural Products",45-0000,45-2000,45-2040,45-2041,6,Detailed
45-2090,Miscellaneous Agricultural Workers,45-0000,45-2000,45-2090,NA,5,Broad
45-2091,Agricultural Equipment Operators,45-0000,45-2000,45-2090,45-2091,6,Detailed
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",45-0000,45-2000,45-2090,45-2092,6,Detailed
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",45-0000,45-2000,45-2090,45-2093,6,Detailed
45-2099,"Agricultural Workers, All Other",45-0000,45-2000,45-2090,45-2099,6,Detailed
45-3000,Fishing and Hunting Workers,45-0000,45-3000,NA,NA,3,Minor
45-3030,Fishing and Hunting Workers,45-0000,45-3000,45-3030,NA,5,Broad
45-3031,Fishing and Hunting Workers,45-0000,45-3000,45-3030,45-3031,6,Detailed
45-4000,"Forest, Conservation, and Logging Workers",45-0000,45-4000,NA,NA,3,Minor
45-4010,Forest and Conservation Workers,45-0000,45-4000,45-4010,NA,5,Broad
45-4011,Forest and Conservation Workers,45-0000,45-4000,45-4010,45-4011,6,Detailed
45-4020,Logging Workers,45-0000,45-4000,45-4020,NA,5,Broad
45-4021,Fallers,45-0000,45-4000,45-4020,45-4021,6,Detailed
45-4022,Logging Equipment Operators,45-0000,45-4000,45-4020,45-4022,6,Detailed
45-4023,Log Graders and Scalers,45-0000,45-4000,45-4020,45-4023,6,Detailed
45-4029,"Logging Workers, All Other",45-0000,45-4000,45-4020,45-4029,6,Detailed
47-0000,Construction and Extraction Occupations,47-0000,NA,NA,NA,2,Major
47-1000,Supervisors of Construction and Extraction Workers,47-0000,47-1000,NA,NA,3,Minor
47-1010,First-Line Supervisors of Construction Trades and Extraction Workers,47-0000,47-1000,47-1010,NA,5,Broad
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,47-0000,47-1000,47-1010,47-1011,6,Detailed
47-2000,Construction Trades Workers,47-0000,47-2000,NA,NA,3,Minor
47-2010,Boilermakers,47-0000,47-2000,47-2010,NA,5,Broad
47-2011,Boilermakers,47-0000,47-2000,47-2010,47-2011,6,Detailed
47-2020,"Brickmasons, Blockmasons, and Stonemasons",47-0000,47-2000,47-2020,NA,5,Broad
47-2021,Brickmasons and Blockmasons,47-0000,47-2000,47-2020,47-2021,6,Detailed
47-2022,Stonemasons,47-0000,47-2000,47-2020,47-2022,6,Detailed
47-2030,Carpenters,47-0000,47-2000,47-2030,NA,5,Broad
47-2031,Carpenters,47-0000,47-2000,47-2030,47-2031,6,Detailed
47-2040,"Carpet, Floor, and Tile Installers and Finishers",47-0000,47-2000,47-2040,NA,5,Broad
47-2041,Carpet Installers,47-0000,47-2000,47-2040,47-2041,6,Detailed
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",47-0000,47-2000,47-2040,47-2042,6,Detailed
47-2043,Floor Sanders and Finishers,47-0000,47-2000,47-2040,47-2043,6,Detailed
47-2044,Tile and Stone Setters,47-0000,47-2000,47-2040,47-2044,6,Detailed
47-2050,"Cement Masons, Concrete Finishers, and Terrazzo Workers",47-0000,47-2000,47-2050,NA,5,Broad
47-2051,Cement Masons and Concrete Finishers,47-0000,47-2000,47-2050,47-2051,6,Detailed
47-2053,Terrazzo Workers and Finishers,47-0000,47-2000,47-2050,47-2053,6,Detailed
47-2060,Construction Laborers,47-0000,47-2000,47-2060,NA,5,Broad
47-2061,Construction Laborers,47-0000,47-2000,47-2060,47-2061,6,Detailed
47-2070,Construction Equipment Operators,47-0000,47-2000,47-2070,NA,5,Broad
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",47-0000,47-2000,47-2070,47-2071,6,Detailed
47-2072,Pile Driver Operators,47-0000,47-2000,47-2070,47-2072,6,Detailed
47-2073,Operating Engineers and Other Construction Equipment Operators,47-0000,47-2000,47-2070,47-2073,6,Detailed
47-2080,"Drywall Installers, Ceiling Tile Installers, and Tapers",47-0000,47-2000,47-2080,NA,5,Broad
47-2081,Drywall and Ceiling Tile Installers,47-0000,47-2000,47-2080,47-2081,6,Detailed
47-2082,Tapers,47-0000,47-2000,47-2080,47-2082,6,Detailed
47-2110,Electricians,47-0000,47-2000,47-2110,NA,5,Broad
47-2111,Electricians,47-0000,47-2000,47-2110,47-2111,6,Detailed
47-2120,Glaziers,47-0000,47-2000,47-2120,NA,5,Broad
47-2121,Glaziers,47-0000,47-2000,47-2120,47-2121,6,Detailed
47-2130,Insulation Workers,47-0000,47-2000,47-2130,NA,5,Broad
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",47-0000,47-2000,47-2130,47-2131,6,Detailed
47-2132,"Insulation Workers, Mechanical",47-0000,47-2000,47-2130,47-2132,6,Detailed
47-2140,Painters and Paperhangers,47-0000,47-2000,47-2140,NA,5,Broad
47-2141,"Painters, Construction and Maintenance",47-0000,47-2000,47-2140,47-2141,6,Detailed
47-2142,Paperhangers,47-0000,47-2000,47-2140,47-2142,6,Detailed
47-2150,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",47-0000,47-2000,47-2150,NA,5,Broad
47-2151,Pipelayers,47-0000,47-2000,47-2150,47-2151,6,Detailed
47-2152,"Plumbers, Pipefitters, and Steamfitters",47-0000,47-2000,47-2150,47-2152,6,Detailed
47-2160,Plasterers and Stucco Masons,47-0000,47-2000,47-2160,NA,5,Broad
47-2161,Plasterers and Stucco Masons,47-0000,47-2000,47-2160,47-2161,6,Detailed
47-2170,Reinforcing Iron and Rebar Workers,47-0000,47-2000,47-2170,NA,5,Broad
47-2171,Reinforcing Iron and Rebar Workers,47-0000,47-2000,47-2170,47-2171,6,Detailed
47-2180,Roofers,47-0000,47-2000,47-2180,NA,5,Broad
47-2181,Roofers,47-0000,47-2000,47-2180,47-2181,6,Detailed
47-2210,Sheet Metal Workers,47-0000,47-2000,47-2210,NA,5,Broad
47-2211,Sheet Metal Workers,47-0000,47-2000,47-2210,47-2211,6,Detailed
47-2220,Structural Iron and Steel Workers,47-0000,47-2000,47-2220,NA,5,Broad
47-2221,Structural Iron and Steel Workers,47-0000,47-2000,47-2220,47-2221,6,Detailed
47-2230,Solar Photovoltaic Installers,47-0000,47-2000,47-2230,NA,5,Broad
47-2231,Solar Photovoltaic Installers,47-0000,47-2000,47-2230,47-2231,6,Detailed
47-3000,"Helpers, Construction Trades",47-0000,47-3000,NA,NA,3,Minor
47-3010,"Helpers, Construction Trades",47-0000,47-3000,47-3010,NA,5,Broad
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",47-0000,47-3000,47-3010,47-3011,6,Detailed
47-3012,Helpers--Carpenters,47-0000,47-3000,47-3010,47-3012,6,Detailed
47-3013,Helpers--Electricians,47-0000,47-3000,47-3010,47-3013,6,Detailed
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",47-0000,47-3000,47-3010,47-3014,6,Detailed
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",47-0000,47-3000,47-3010,47-3015,6,Detailed
47-3016,Helpers--Roofers,47-0000,47-3000,47-3010,47-3016,6,Detailed
47-3019,"Helpers, Construction Trades, All Other",47-0000,47-3000,47-3010,47-3019,6,Detailed
47-4000,Other Construction and Related Workers,47-0000,47-4000,NA,NA,3,Minor
47-4010,Construction and Building Inspectors,47-0000,47-4000,47-4010,NA,5,Broad
47-4011,Construction and Building Inspectors,47-0000,47-4000,47-4010,47-4011,6,Detailed
47-4020,Elevator and Escalator Installers and Repairers,47-0000,47-4000,47-4020,NA,5,Broad
47-4021,Elevator and Escalator Installers and Repairers,47-0000,47-4000,47-4020,47-4021,6,Detailed
47-4030,Fence Erectors,47-0000,47-4000,47-4030,NA,5,Broad
47-4031,Fence Erectors,47-0000,47-4000,47-4030,47-4031,6,Detailed
47-4040,Hazardous Materials Removal Workers,47-0000,47-4000,47-4040,NA,5,Broad
47-4041,Hazardous Materials Removal Workers,47-0000,47-4000,47-4040,47-4041,6,Detailed
47-4050,Highway Maintenance Workers,47-0000,47-4000,47-4050,NA,5,Broad
47-4051,Highway Maintenance Workers,47-0000,47-4000,47-4050,47-4051,6,Detailed
47-4060,Rail-Track Laying and Maintenance Equipment Operators,47-0000,47-4000,47-4060,NA,5,Broad
47-4061,Rail-Track Laying and Maintenance Equipment Operators,47-0000,47-4000,47-4060,47-4061,6,Detailed
47-4070,Septic Tank Servicers and Sewer Pipe Cleaners,47-0000,47-4000,47-4070,NA,5,Broad
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,47-0000,47-4000,47-4070,47-4071,6,Detailed
47-4090,Miscellaneous Construction and Related Workers,47-0000,47-4000,47-4090,NA,5,Broad
47-4091,Segmental Pavers,47-0000,47-4000,47-4090,47-4091,6,Detailed
47-4099,"Construction and Related Workers, All Other",47-0000,47-4000,47-4090,47-4099,6,Detailed
47-5000,Extraction Workers,47-0000,47-5000,NA,NA,3,Minor
47-5010,"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",47-0000,47-5000,47-5010,NA,5,Broad
47-5011,"Derrick Operators, Oil and Gas",47-0000,47-5000,47-5010,47-5011,6,Detailed
47-5012,"Rotary Drill Operators, Oil and Gas",47-0000,47-5000,47-5010,47-5012,6,Detailed
47-5013,"Service Unit Operators, Oil and Gas",47-0000,47-5000,47-5010,47-5013,6,Detailed
47-5020,Surface Mining Machine Operators and Earth Drillers,47-0000,47-5000,47-5020,NA,5,Broad
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",47-0000,47-5000,47-5020,47-5022,6,Detailed
47-5023,"Earth Drillers, Except Oil and Gas",47-0000,47-5000,47-5020,47-5023,6,Detailed
47-5030,"Explosives Workers, Ordnance Handling Experts, and Blasters",47-0000,47-5000,47-5030,NA,5,Broad
47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters",47-0000,47-5000,47-5030,47-5032,6,Detailed
47-5040,Underground Mining Machine Operators,47-0000,47-5000,47-5040,NA,5,Broad
47-5041,Continuous Mining Machine Operators,47-0000,47-5000,47-5040,47-5041,6,Detailed
47-5043,"Roof Bolters, Mining",47-0000,47-5000,47-5040,47-5043,6,Detailed
47-5044,"Loading and Moving Machine Operators, Underground Mining",47-0000,47-5000,47-5040,47-5044,6,Detailed
47-5049,"Underground Mining Machine Operators, All Other",47-0000,47-5000,47-5040,47-5049,6,Detailed
47-5050,"Rock Splitters, Quarry",47-0000,47-5000,47-5050,NA,5,Broad
47-5051,"Rock Splitters, Quarry",47-0000,47-5000,47-5050,47-5051,6,Detailed
47-5070,"Roustabouts, Oil and Gas",47-0000,47-5000,47-5070,NA,5,Broad
47-5071,"Roustabouts, Oil and Gas",47-0000,47-5000,47-5070,47-5071,6,Detailed
47-5080,Helpers--Extraction Workers,47-0000,47-5000,47-5080,NA,5,Broad
47-5081,Helpers--Extraction Workers,47-0000,47-5000,47-5080,47-5081,6,Detailed
47-5090,Miscellaneous Extraction Workers,47-0000,47-5000,47-5090,NA,5,Broad
47-5099,"Extraction Workers, All Other",47-0000,47-5000,47-5090,47-5099,6,Detailed
49-0000,"Installation, Maintenance, and Repair Occupations",49-0000,NA,NA,NA,2,Major
49-1000,"Supervisors of Installation, Maintenance, and Repair Workers",49-0000,49-1000,NA,NA,3,Minor
49-1010,"First-Line Supervisors of Mechanics, Installers, and Repairers",49-0000,49-1000,49-1010,NA,5,Broad
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",49-0000,49-1000,49-1010,49-1011,6,Detailed
49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",49-0000,49-2000,NA,NA,3,Minor
49-2010,"Computer, Automated Teller, and Office Machine Repairers",49-0000,49-2000,49-2010,NA,5,Broad
49-2011,"Computer, Automated Teller, and Office Machine Repairers",49-0000,49-2000,49-2010,49-2011,6,Detailed
49-2020,Radio and Telecommunications Equipment Installers and Repairers,49-0000,49-2000,49-2020,NA,5,Broad
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",49-0000,49-2000,49-2020,49-2021,6,Detailed
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",49-0000,49-2000,49-2020,49-2022,6,Detailed
49-2090,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",49-0000,49-2000,49-2090,NA,5,Broad
49-2091,Avionics Technicians,49-0000,49-2000,49-2090,49-2091,6,Detailed
49-2092,"Electric Motor, Power Tool, and Related Repairers",49-0000,49-2000,49-2090,49-2092,6,Detailed
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",49-0000,49-2000,49-2090,49-2093,6,Detailed
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",49-0000,49-2000,49-2090,49-2094,6,Detailed
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",49-0000,49-2000,49-2090,49-2095,6,Detailed
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",49-0000,49-2000,49-2090,49-2096,6,Detailed
49-2097,Audiovisual Equipment Installers and Repairers,49-0000,49-2000,49-2090,49-2097,6,Detailed
49-2098,Security and Fire Alarm Systems Installers,49-0000,49-2000,49-2090,49-2098,6,Detailed
49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",49-0000,49-3000,NA,NA,3,Minor
49-3010,Aircraft Mechanics and Service Technicians,49-0000,49-3000,49-3010,NA,5,Broad
49-3011,Aircraft Mechanics and Service Technicians,49-0000,49-3000,49-3010,49-3011,6,Detailed
49-3020,Automotive Technicians and Repairers,49-0000,49-3000,49-3020,NA,5,Broad
49-3021,Automotive Body and Related Repairers,49-0000,49-3000,49-3020,49-3021,6,Detailed
49-3022,Automotive Glass Installers and Repairers,49-0000,49-3000,49-3020,49-3022,6,Detailed
49-3023,Automotive Service Technicians and Mechanics,49-0000,49-3000,49-3020,49-3023,6,Detailed
49-3030,Bus and Truck Mechanics and Diesel Engine Specialists,49-0000,49-3000,49-3030,NA,5,Broad
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,49-0000,49-3000,49-3030,49-3031,6,Detailed
49-3040,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,49-0000,49-3000,49-3040,NA,5,Broad
49-3041,Farm Equipment Mechanics and Service Technicians,49-0000,49-3000,49-3040,49-3041,6,Detailed
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",49-0000,49-3000,49-3040,49-3042,6,Detailed
49-3043,Rail Car Repairers,49-0000,49-3000,49-3040,49-3043,6,Detailed
49-3050,Small Engine Mechanics,49-0000,49-3000,49-3050,NA,5,Broad
49-3051,Motorboat Mechanics and Service Technicians,49-0000,49-3000,49-3050,49-3051,6,Detailed
49-3052,Motorcycle Mechanics,49-0000,49-3000,49-3050,49-3052,6,Detailed
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,49-0000,49-3000,49-3050,49-3053,6,Detailed
49-3090,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",49-0000,49-3000,49-3090,NA,5,Broad
49-3091,Bicycle Repairers,49-0000,49-3000,49-3090,49-3091,6,Detailed
49-3092,Recreational Vehicle Service Technicians,49-0000,49-3000,49-3090,49-3092,6,Detailed
49-3093,Tire Repairers and Changers,49-0000,49-3000,49-3090,49-3093,6,Detailed
49-9000,"Other Installation, Maintenance, and Repair Occupations",49-0000,49-9000,NA,NA,3,Minor
49-9010,Control and Valve Installers and Repairers,49-0000,49-9000,49-9010,NA,5,Broad
49-9011,Mechanical Door Repairers,49-0000,49-9000,49-9010,49-9011,6,Detailed
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",49-0000,49-9000,49-9010,49-9012,6,Detailed
49-9020,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",49-0000,49-9000,49-9020,NA,5,Broad
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",49-0000,49-9000,49-9020,49-9021,6,Detailed
49-9030,Home Appliance Repairers,49-0000,49-9000,49-9030,NA,5,Broad
49-9031,Home Appliance Repairers,49-0000,49-9000,49-9030,49-9031,6,Detailed
49-9040,"Industrial Machinery Installation, Repair, and Maintenance Workers",49-0000,49-9000,49-9040,NA,5,Broad
49-9041,Industrial Machinery Mechanics,49-0000,49-9000,49-9040,49-9041,6,Detailed
49-9043,"Maintenance Workers, Machinery",49-0000,49-9000,49-9040,49-9043,6,Detailed
49-9044,Millwrights,49-0000,49-9000,49-9040,49-9044,6,Detailed
49-9045,"Refractory Materials Repairers, Except Brickmasons",49-0000,49-9000,49-9040,49-9045,6,Detailed
49-9050,Line Installers and Repairers,49-0000,49-9000,49-9050,NA,5,Broad
49-9051,Electrical Power-Line Installers and Repairers,49-0000,49-9000,49-9050,49-9051,6,Detailed
49-9052,Telecommunications Line Installers and Repairers,49-0000,49-9000,49-9050,49-9052,6,Detailed
49-9060,Precision Instrument and Equipment Repairers,49-0000,49-9000,49-9060,NA,5,Broad
49-9061,Camera and Photographic Equipment Repairers,49-0000,49-9000,49-9060,49-9061,6,Detailed
49-9062,Medical Equipment Repairers,49-0000,49-9000,49-9060,49-9062,6,Detailed
49-9063,Musical Instrument Repairers and Tuners,49-0000,49-9000,49-9060,49-9063,6,Detailed
49-9064,Watch and Clock Repairers,49-0000,49-9000,49-9060,49-9064,6,Detailed
49-9069,"Precision Instrument and Equipment Repairers, All Other",49-0000,49-9000,49-9060,49-9069,6,Detailed
49-9070,"Maintenance and Repair Workers, General",49-0000,49-9000,49-9070,NA,5,Broad
49-9071,"Maintenance and Repair Workers, General",49-0000,49-9000,49-9070,49-9071,6,Detailed
49-9080,Wind Turbine Service Technicians,49-0000,49-9000,49-9080,NA,5,Broad
49-9081,Wind Turbine Service Technicians,49-0000,49-9000,49-9080,49-9081,6,Detailed
49-9090,"Miscellaneous Installation, Maintenance, and Repair Workers",49-0000,49-9000,49-9090,NA,5,Broad
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",49-0000,49-9000,49-9090,49-9091,6,Detailed
49-9092,Commercial Divers,49-0000,49-9000,49-9090,49-9092,6,Detailed
49-9094,Locksmiths and Safe Repairers,49-0000,49-9000,49-9090,49-9094,6,Detailed
49-9095,Manufactured Building and Mobile Home Installers,49-0000,49-9000,49-9090,49-9095,6,Detailed
49-9096,Riggers,49-0000,49-9000,49-9090,49-9096,6,Detailed
49-9097,Signal and Track Switch Repairers,49-0000,49-9000,49-9090,49-9097,6,Detailed
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",49-0000,49-9000,49-9090,49-9098,6,Detailed
49-9099,"Installation, Maintenance, and Repair Workers, All Other",49-0000,49-9000,49-9090,49-9099,6,Detailed
51-0000,Production Occupations,51-0000,NA,NA,NA,2,Major
51-1000,Supervisors of Production Workers,51-0000,51-1000,NA,NA,3,Minor
51-1010,First-Line Supervisors of Production and Operating Workers,51-0000,51-1000,51-1010,NA,5,Broad
51-1011,First-Line Supervisors of Production and Operating Workers,51-0000,51-1000,51-1010,51-1011,6,Detailed
51-2000,Assemblers and Fabricators,51-0000,51-2000,NA,NA,3,Minor
51-2010,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51-0000,51-2000,51-2010,NA,5,Broad
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51-0000,51-2000,51-2010,51-2011,6,Detailed
51-2020,"Electrical, Electronics, and Electromechanical Assemblers",51-0000,51-2000,51-2020,NA,5,Broad
51-2021,"Coil Winders, Tapers, and Finishers",51-0000,51-2000,51-2020,51-2021,6,Detailed
51-2022,Electrical and Electronic Equipment Assemblers,51-0000,51-2000,51-2020,51-2022,6,Detailed
51-2023,Electromechanical Equipment Assemblers,51-0000,51-2000,51-2020,51-2023,6,Detailed
51-2030,Engine and Other Machine Assemblers,51-0000,51-2000,51-2030,NA,5,Broad
51-2031,Engine and Other Machine Assemblers,51-0000,51-2000,51-2030,51-2031,6,Detailed
51-2040,Structural Metal Fabricators and Fitters,51-0000,51-2000,51-2040,NA,5,Broad
51-2041,Structural Metal Fabricators and Fitters,51-0000,51-2000,51-2040,51-2041,6,Detailed
51-2050,Fiberglass Laminators and Fabricators,51-0000,51-2000,51-2050,NA,5,Broad
51-2051,Fiberglass Laminators and Fabricators,51-0000,51-2000,51-2050,51-2051,6,Detailed
51-2060,Timing Device Assemblers and Adjusters,51-0000,51-2000,51-2060,NA,5,Broad
51-2061,Timing Device Assemblers and Adjusters,51-0000,51-2000,51-2060,51-2061,6,Detailed
51-2090,Miscellaneous Assemblers and Fabricators,51-0000,51-2000,51-2090,NA,5,Broad
51-2092,Team Assemblers,51-0000,51-2000,51-2090,51-2092,6,Detailed
51-2099,"Assemblers and Fabricators, All Other",51-0000,51-2000,51-2090,51-2099,6,Detailed
51-3000,Food Processing Workers,51-0000,51-3000,NA,NA,3,Minor
51-3010,Bakers,51-0000,51-3000,51-3010,NA,5,Broad
51-3011,Bakers,51-0000,51-3000,51-3010,51-3011,6,Detailed
51-3020,"Butchers and Other Meat, Poultry, and Fish Processing Workers",51-0000,51-3000,51-3020,NA,5,Broad
51-3021,Butchers and Meat Cutters,51-0000,51-3000,51-3020,51-3021,6,Detailed
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",51-0000,51-3000,51-3020,51-3022,6,Detailed
51-3023,Slaughterers and Meat Packers,51-0000,51-3000,51-3020,51-3023,6,Detailed
51-3090,Miscellaneous Food Processing Workers,51-0000,51-3000,51-3090,NA,5,Broad
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",51-0000,51-3000,51-3090,51-3091,6,Detailed
51-3092,Food Batchmakers,51-0000,51-3000,51-3090,51-3092,6,Detailed
51-3093,Food Cooking Machine Operators and Tenders,51-0000,51-3000,51-3090,51-3093,6,Detailed
51-3099,"Food Processing Workers, All Other",51-0000,51-3000,51-3090,51-3099,6,Detailed
51-4000,Metal Workers and Plastic Workers,51-0000,51-4000,NA,NA,3,Minor
51-4020,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4020,NA,5,Broad
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4020,51-4021,6,Detailed
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4020,51-4022,6,Detailed
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4020,51-4023,6,Detailed
51-4030,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4030,NA,5,Broad
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4030,51-4031,6,Detailed
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4030,51-4032,6,Detailed
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4030,51-4033,6,Detailed
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4030,51-4034,6,Detailed
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4030,51-4035,6,Detailed
51-4040,Machinists,51-0000,51-4000,51-4040,NA,5,Broad
51-4041,Machinists,51-0000,51-4000,51-4040,51-4041,6,Detailed
51-4050,"Metal Furnace Operators, Tenders, Pourers, and Casters",51-0000,51-4000,51-4050,NA,5,Broad
51-4051,Metal-Refining Furnace Operators and Tenders,51-0000,51-4000,51-4050,51-4051,6,Detailed
51-4052,"Pourers and Casters, Metal",51-0000,51-4000,51-4050,51-4052,6,Detailed
51-4060,"Model Makers and Patternmakers, Metal and Plastic",51-0000,51-4000,51-4060,NA,5,Broad
51-4061,"Model Makers, Metal and Plastic",51-0000,51-4000,51-4060,51-4061,6,Detailed
51-4062,"Patternmakers, Metal and Plastic",51-0000,51-4000,51-4060,51-4062,6,Detailed
51-4070,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4070,NA,5,Broad
51-4071,Foundry Mold and Coremakers,51-0000,51-4000,51-4070,51-4071,6,Detailed
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4070,51-4072,6,Detailed
51-4080,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4080,NA,5,Broad
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4080,51-4081,6,Detailed
51-4110,Tool and Die Makers,51-0000,51-4000,51-4110,NA,5,Broad
51-4111,Tool and Die Makers,51-0000,51-4000,51-4110,51-4111,6,Detailed
51-4120,"Welding, Soldering, and Brazing Workers",51-0000,51-4000,51-4120,NA,5,Broad
51-4121,"Welders, Cutters, Solderers, and Brazers",51-0000,51-4000,51-4120,51-4121,6,Detailed
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",51-0000,51-4000,51-4120,51-4122,6,Detailed
51-4190,Miscellaneous Metal Workers and Plastic Workers,51-0000,51-4000,51-4190,NA,5,Broad
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4190,51-4191,6,Detailed
51-4192,"Layout Workers, Metal and Plastic",51-0000,51-4000,51-4190,51-4192,6,Detailed
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4190,51-4193,6,Detailed
